tourists,[ 0  2  4 -7 -8 -8  0  0 -8 -8  5  2 -5 -6 -3 -7 -3 -4 -8  3 -8],289.259,289.339
come,[ 2  0  0 -4 -4 -2  0  2 -4 -4  0 -4  0 -2 -2 -4 -2 -2 -4  2 -4],287.879,288.7592
and,[ 1  1 -1 -3 -3 -1  0  3 -3 -3  2  1 -2 -3 -3 -1 -3 -3 -3  1 -3],289.6394,290.5196
stare,[ 1  1  3 -4 -5 -5  0  1 -5 -5  3  1 -3 -5 -4 -2 -4 -5 -5  2 -5],291.3998,292.549
at,[ 0  0  0 -2 -2 -2  0  0 -2 -2  1  0 -1 -2 -2  0 -2 -2 -2  1 -2],292.949,293.079
us,[ 0  0  2 -2 -2 -2  0  0 -2 -2  1  0 -1  0  0 -2  0  0 -2  1 -2],293.369,292.399
blow,[ 2  0  2 -4 -2 -4  0  4 -4 -4  1 -2 -1  0 -2 -4  0  0 -4  1 -4],306.16,307.3
bubbles,[-1  3  1 -7 -5 -7  0  5 -7 -7  5 -3 -2  1 -5 -7 -5 -5 -7  2 -7],308.649,308.799
with,[ 2  0  2 -4 -4 -4  0  0 -4 -4 -1 -2 -1 -2  0 -4 -2 -2 -4  1 -4],309.019,309.109
their,[ 3  1  3 -4 -5 -5  0  1 -5 -5  1 -1 -2 -5 -2 -4 -4 -5 -5  2 -5],309.269,309.509
gum,[ 2  0  0 -2 -2  0  0  2 -2 -2  1 -2  0  2  0 -2  0  0 -2  1 -2],309.739,308.56
take,[ 0  0  0 -4 -4 -4  0  0 -4 -4  0 -2 -1 -4 -2 -2 -2 -4 -4  2 -4],311.059,310.759
photographs,[  2   4   4  -9 -10 -10   0  -2 -10 -10   3  -4  -3  -6  -9  -7  -5  -6
 -10   3 -10],310.759,311.426
of,[ 0  0  2 -2 -2 -2  1  0 -2 -2  1 -2  0  0 -2 -2  0  0 -2  1 -2],312.09299999999996,314.059
fun,[ 1  1  1 -3 -3 -1  1  1 -3 -3  2 -1 -1  1 -1 -3 -1 -1 -3  1 -3],312.879,313.17400000000004
have,[ 2  0  4 -4 -4 -4  1  2 -4 -4  0 -4  0 -2 -4 -2 -4 -4 -4  2 -4],313.46900000000005,313.76400000000007
fun,[ 1  1  1 -3 -3 -1  1  1 -3 -3  2 -1 -1  1 -1 -3 -1 -1 -3  1 -3],314.139,314.699
they'll,[ 4  2  4 -6 -2 -6  0  2 -6 -6  2  0 -3 -4 -4 -6 -6 -4 -6  2 -6],314.959,315.429
name,[ 4  0  0 -4 -4  0  0  4 -4 -4  2 -2 -1 -2 -4 -2 -4 -4 -4  2 -4],315.599,315.659
a,[ 1 -1  1 -1 -1 -1  0  1 -1 -1  0 -1  0 -1 -1  1 -1 -1 -1  1 -1],312.879,317.319
city,[ 0  0  0 -4 -4 -4  0  0 -4 -4  0 -2 -1 -2  2 -4 -4 -2 -4  2 -4],317.379,317.569
after,[ 1  1  3 -4 -5 -5  1  1 -5 -5  3 -1 -2 -3 -4 -2 -4 -5 -5  2 -5],317.689,316.639
us,[ 0  0  2 -2 -2 -2  0  0 -2 -2  1  0 -1  0  0 -2  0  0 -2  1 -2],319.029,318.72
and,[ 1  1 -1 -3 -3 -1  0  3 -3 -3  2  1 -2 -3 -3 -1 -3 -3 -3  1 -3],319.479,319.759
say,[ 1 -1  3 -3 -3 -3  0  1 -3 -3  1 -1 -1 -1 -1 -1 -3 -1 -3  2 -3],318.72,319.879
later,[ 3  1  3 -4 -3 -5  0  3 -5 -5  3  1 -3 -5 -4 -2 -4 -5 -5  2 -5],320.299,318.72
it's,[-1  1  1 -3 -3 -3  0 -1 -3 -3  2  1 -2 -3 -1 -3 -3 -3 -3  1 -3],320.909,318.72
all,[ 3  1  3 -3  1 -3  0  3 -3 -3  2  1 -2 -3 -3 -1 -3 -3 -3  1 -3],321.209,318.72
our,[ 3 -1  3 -2 -3 -3  0  3 -3 -3  1 -1 -1 -1  0 -2  2  1 -3  2 -3],321.779,321.68
fault,[ 1  1  3 -5 -3 -5  1  1 -5 -5  3 -1 -2 -1 -3 -3 -3 -3 -5  2 -5],322.2133333333333,322.7466666666666
then,[ 2  2  0 -4 -4 -2  0  0 -4 -4  1  0 -2 -4 -4 -4 -4 -4 -4  1 -4],323.649,323.769
they'll,[ 4  2  4 -6 -2 -6  0  2 -6 -6  2  0 -3 -4 -4 -6 -6 -4 -6  2 -6],323.879,324.029
give,[ 1 -1  3 -3 -3 -3  1  3 -3 -3  1 -3  0 -1 -1 -3 -3 -3 -3  2 -3],324.699,323.399
us,[ 0  0  2 -2 -2 -2  0  0 -2 -2  1  0 -1  0  0 -2  0  0 -2  1 -2],324.929,323.399
a,[ 1 -1  1 -1 -1 -1  0  1 -1 -1  0 -1  0 -1 -1  1 -1 -1 -1  1 -1],326.619,326.16
talking,[ 2  2  0 -6 -4 -4  0  2 -6 -6  2  0 -3 -6 -2 -4 -4 -6 -6  2 -6],326.749,326.839
to,[ 0  0  0 -2 -2 -2  0  0 -2 -2  1  0 -1 -2 -2 -2  0  0 -2  1 -2],327.049,326.16
talking,[ 2  2  0 -6 -4 -4  0  2 -6 -6  2  0 -3 -6 -2 -4 -4 -6 -6  2 -6],327.099,326.16
then,[ 2  2  0 -4 -4 -2  0  0 -4 -4  1  0 -2 -4 -4 -4 -4 -4 -4  1 -4],327.969,327.759
they'll,[ 4  2  4 -6 -2 -6  0  2 -6 -6  2  0 -3 -4 -4 -6 -6 -4 -6  2 -6],327.86400000000003,328.099
give,[ 1 -1  3 -3 -3 -3  1  3 -3 -3  1 -3  0 -1 -1 -3 -3 -3 -3  2 -3],328.569,327.759
us,[ 0  0  2 -2 -2 -2  0  0 -2 -2  1  0 -1  0  0 -2  0  0 -2  1 -2],331.109,329.759
a,[ 1 -1  1 -1 -1 -1  0  1 -1 -1  0 -1  0 -1 -1  1 -1 -1 -1  1 -1],330.209,330.659
to,[ 0  0  0 -2 -2 -2  0  0 -2 -2  1  0 -1 -2 -2 -2  0  0 -2  1 -2],331.239,331.369
'cause,[ 1 -1  3 -5 -5 -5  0  1 -5 -5  0 -3 -1 -3 -1 -3 -3 -3 -5  3 -5],329.759,333.549
they've,[ 2.  0.  4. -6. -6. -6.  1.  2. -6. -6.  1. -4. -1. -2. -4. -6. -6. -4.
 -6.  3. -6.],333.709,333.869
got,[ 0  0  0 -2 -2 -2  0  0 -2 -2  1  0 -1 -2 -2 -2  0  0 -2  1 -2],334.749,332.36
years,[ 3 -1  5 -4 -5 -5  0  3 -5 -5  2 -1 -2 -3 -2 -2 -4 -3 -5  3 -5],335.069,332.36
of,[ 0  0  2 -2 -2 -2  1  0 -2 -2  1 -2  0  0 -2 -2  0  0 -2  1 -2],335.699,335.879
experience,[  4   0   4  -9 -10  -8   0   4 -10 -10   1  -6  -2  -8  -3  -9  -7 -10
 -10   5 -10],336.099,336.259
living,[ 3  1  3 -5 -3 -3  1  5 -5 -5  3 -1 -2 -3 -1 -5 -5 -5 -5  2 -5],336.359,336.439
in,[ 2  0  0 -2 -2  0  0  2 -2 -2  1  0 -1 -2  0 -2 -2 -2 -2  1 -2],336.819,337.369
a,[ 1 -1  1 -1 -1 -1  0  1 -1 -1  0 -1  0 -1 -1  1 -1 -1 -1  1 -1],335.6,337.759
